cluster,count,average_glucose,average_stress,average_heart_rate,average_carbs,average_exercise_steps
-1,15572,112.7669278191626,2.514834318006679,85.23540970973542,2.9861289493963525,76.20928589776521
0,8,175.0625,4.0,92.025,0.0,0.0
1,5,183.9,2.0,75.94,0.0,0.0
2,5,184.45999999999998,2.0,94.8,0.0,0.0
3,5,111.38000000000002,1.0,63.6,0.0,0.0
4,5,110.52000000000001,4.0,97.34,0.0,0.0
5,5,111.17999999999999,1.0,105.85999999999999,0.0,0.0
6,5,113.62,1.0,102.67999999999999,0.0,0.0
7,7,111.60000000000001,2.0,91.94285714285715,0.0,0.0
8,7,90.17142857142858,5.0,94.15714285714284,0.0,0.0
9,5,84.49999999999999,5.0,62.580000000000005,0.0,0.0
10,9,88.57777777777778,0.0,88.14444444444445,0.0,0.0
11,5,87.47999999999999,2.0,88.62,0.0,0.0
12,5,146.44,1.0,86.85999999999999,0.0,0.0
13,6,74.0,0.0,95.5,0.0,0.0
14,5,78.53999999999999,1.0,64.20000000000002,0.0,0.0
15,5,77.2,2.0,67.35999999999999,0.0,0.0
16,5,74.76,3.0,94.6,0.0,0.0
17,8,107.8625,3.0,69.625,0.0,0.0
18,7,108.65714285714286,2.0,68.99999999999999,0.0,0.0
19,7,105.89999999999999,3.0,76.9857142857143,0.0,0.0
20,6,102.7,0.0,69.21666666666665,0.0,0.0
21,5,102.44000000000001,0.0,85.64000000000001,0.0,0.0
22,6,83.85000000000001,4.0,77.41666666666666,0.0,0.0
23,5,82.23999999999998,3.0,97.26,0.0,0.0
24,13,79.6846153846154,1.0,92.94615384615385,0.0,0.0
25,5,82.28,4.0,93.58,0.0,0.0
